"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOUSECOST","REAL","IDX2015","A","2005",98.2167117693066,
"DNK","HOUSECOST","REAL","IDX2015","A","2006",119.230346421799,
"DNK","HOUSECOST","REAL","IDX2015","A","2007",120.361659897133,
"DNK","HOUSECOST","REAL","IDX2015","A","2008",110.932736083198,
"DNK","HOUSECOST","REAL","IDX2015","A","2009",96.3932888284529,
"DNK","HOUSECOST","REAL","IDX2015","A","2010",96.7115063572738,
"DNK","HOUSECOST","REAL","IDX2015","A","2011",92.8776971031503,
"DNK","HOUSECOST","REAL","IDX2015","A","2012",88.3159401327178,
"DNK","HOUSECOST","REAL","IDX2015","A","2013",91.0010911673413,
"DNK","HOUSECOST","REAL","IDX2015","A","2014",93.8651957063982,
"DNK","HOUSECOST","REAL","IDX2015","A","2015",100,
"DNK","HOUSECOST","REAL","IDX2015","A","2016",104.59295886621,
"DNK","HOUSECOST","REAL","IDX2015","A","2017",108.13592851316,
"DNK","HOUSECOST","REAL","IDX2015","A","2018",112.326797853978,
"DNK","HOUSECOST","REAL","IDX2015","A","2019",114.325160362744,
"DNK","HOUSECOST","REAL","IDX2015","A","2020",119.794416098418,
"FIN","HOUSECOST","REAL","IDX2015","A","2000",76.8032478947176,
"FIN","HOUSECOST","REAL","IDX2015","A","2001",73.7150646709635,
"FIN","HOUSECOST","REAL","IDX2015","A","2002",76.8744176279221,
"FIN","HOUSECOST","REAL","IDX2015","A","2003",80.9427959904351,
"FIN","HOUSECOST","REAL","IDX2015","A","2004",87.3030282486363,
"FIN","HOUSECOST","REAL","IDX2015","A","2005",93.2232654828532,
"FIN","HOUSECOST","REAL","IDX2015","A","2006",98.3485381875389,
"FIN","HOUSECOST","REAL","IDX2015","A","2007",102.181042172405,
"FIN","HOUSECOST","REAL","IDX2015","A","2008",99.6204728459655,
"FIN","HOUSECOST","REAL","IDX2015","A","2009",99.1673576111495,
"FIN","HOUSECOST","REAL","IDX2015","A","2010",103.940794292892,
"FIN","HOUSECOST","REAL","IDX2015","A","2011",103.804708544184,
"FIN","HOUSECOST","REAL","IDX2015","A","2012",103.384197409749,
"FIN","HOUSECOST","REAL","IDX2015","A","2013",102.102877866178,
"FIN","HOUSECOST","REAL","IDX2015","A","2014",100.454177282018,
"FIN","HOUSECOST","REAL","IDX2015","A","2015",100,
"FIN","HOUSECOST","REAL","IDX2015","A","2016",100.597958515391,
"FIN","HOUSECOST","REAL","IDX2015","A","2017",101.125503073703,
"FIN","HOUSECOST","REAL","IDX2015","A","2018",100.876192719056,
"FIN","HOUSECOST","REAL","IDX2015","A","2019",100.896843387775,
"FIN","HOUSECOST","REAL","IDX2015","A","2020",102.179175589377,
"FRA","HOUSECOST","REAL","IDX2015","A","2000",59.5397536880687,
"FRA","HOUSECOST","REAL","IDX2015","A","2001",62.9964929466216,
"FRA","HOUSECOST","REAL","IDX2015","A","2002",67.8617281274431,
"FRA","HOUSECOST","REAL","IDX2015","A","2003",74.6616106000483,
"FRA","HOUSECOST","REAL","IDX2015","A","2004",84.0804089076567,
"FRA","HOUSECOST","REAL","IDX2015","A","2005",95.328624514724,
"FRA","HOUSECOST","REAL","IDX2015","A","2006",104.556605943381,
"FRA","HOUSECOST","REAL","IDX2015","A","2007",109.078383232964,
"FRA","HOUSECOST","REAL","IDX2015","A","2008",107.139349907616,
"FRA","HOUSECOST","REAL","IDX2015","A","2009",101.014622111518,
"FRA","HOUSECOST","REAL","IDX2015","A","2010",105.012492392181,
"FRA","HOUSECOST","REAL","IDX2015","A","2011",109.242946318724,
"FRA","HOUSECOST","REAL","IDX2015","A","2012",107.135421158952,
"FRA","HOUSECOST","REAL","IDX2015","A","2013",104.21296238355,
"FRA","HOUSECOST","REAL","IDX2015","A","2014",102.21216824602,
"FRA","HOUSECOST","REAL","IDX2015","A","2015",100,
"FRA","HOUSECOST","REAL","IDX2015","A","2016",100.683421325082,
"FRA","HOUSECOST","REAL","IDX2015","A","2017",102.886561775948,
"FRA","HOUSECOST","REAL","IDX2015","A","2018",104.277321468432,
"FRA","HOUSECOST","REAL","IDX2015","A","2019",106.811024430147,
"FRA","HOUSECOST","REAL","IDX2015","A","2020",111.921831284027,
"DEU","HOUSECOST","REAL","IDX2015","A","2000",102.744656744165,
"DEU","HOUSECOST","REAL","IDX2015","A","2001",100.706157452257,
"DEU","HOUSECOST","REAL","IDX2015","A","2002",98.1285863272029,
"DEU","HOUSECOST","REAL","IDX2015","A","2003",97.0738182317734,
"DEU","HOUSECOST","REAL","IDX2015","A","2004",94.5207756463447,
"DEU","HOUSECOST","REAL","IDX2015","A","2005",94.66742484677,
"DEU","HOUSECOST","REAL","IDX2015","A","2006",93.0988401016246,
"DEU","HOUSECOST","REAL","IDX2015","A","2007",89.4328039933854,
"DEU","HOUSECOST","REAL","IDX2015","A","2008",88.9044029492432,
"DEU","HOUSECOST","REAL","IDX2015","A","2009",89.5682883183374,
"DEU","HOUSECOST","REAL","IDX2015","A","2010",89.0181706265287,
"DEU","HOUSECOST","REAL","IDX2015","A","2011",90.5186758586954,
"DEU","HOUSECOST","REAL","IDX2015","A","2012",92.3439029355964,
"DEU","HOUSECOST","REAL","IDX2015","A","2013",93.9501019559402,
"DEU","HOUSECOST","REAL","IDX2015","A","2014",96.0260897842361,
"DEU","HOUSECOST","REAL","IDX2015","A","2015",100,
"DEU","HOUSECOST","REAL","IDX2015","A","2016",106.771421139827,
"DEU","HOUSECOST","REAL","IDX2015","A","2017",111.620233172734,
"DEU","HOUSECOST","REAL","IDX2015","A","2018",117.313733842515,
"DEU","HOUSECOST","REAL","IDX2015","A","2019",122.479333261614,
"DEU","HOUSECOST","REAL","IDX2015","A","2020",131.140681067275,
"GRC","HOUSECOST","REAL","IDX2015","A","2000",111.19694437676,
"GRC","HOUSECOST","REAL","IDX2015","A","2001",125.2329278923,
"GRC","HOUSECOST","REAL","IDX2015","A","2002",139.501255629344,
"GRC","HOUSECOST","REAL","IDX2015","A","2003",143.434244766192,
"GRC","HOUSECOST","REAL","IDX2015","A","2004",142.044256059513,
"GRC","HOUSECOST","REAL","IDX2015","A","2005",152.962082420435,
"GRC","HOUSECOST","REAL","IDX2015","A","2006",167.41310870312,
"GRC","HOUSECOST","REAL","IDX2015","A","2007",171.576613885864,
"GRC","HOUSECOST","REAL","IDX2015","A","2008",166.830401006516,
"GRC","HOUSECOST","REAL","IDX2015","A","2009",158.144636956799,
"GRC","HOUSECOST","REAL","IDX2015","A","2010",151.782753079336,
"GRC","HOUSECOST","REAL","IDX2015","A","2011",139.287256499786,
"GRC","HOUSECOST","REAL","IDX2015","A","2012",121.735113605322,
"GRC","HOUSECOST","REAL","IDX2015","A","2013",110.337017952776,
"GRC","HOUSECOST","REAL","IDX2015","A","2014",104.026283228474,
"GRC","HOUSECOST","REAL","IDX2015","A","2015",100,
"GRC","HOUSECOST","REAL","IDX2015","A","2016",98.4723899050159,
"GRC","HOUSECOST","REAL","IDX2015","A","2017",97.029764319807,
"GRC","HOUSECOST","REAL","IDX2015","A","2018",98.710581373652,
"GRC","HOUSECOST","REAL","IDX2015","A","2019",105.948749483329,
"GRC","HOUSECOST","REAL","IDX2015","A","2020",112.079522605164,
"HUN","HOUSECOST","REAL","IDX2015","A","2007",127.606727314566,
"HUN","HOUSECOST","REAL","IDX2015","A","2008",123.540445614288,
"HUN","HOUSECOST","REAL","IDX2015","A","2009",112.339693963088,
"HUN","HOUSECOST","REAL","IDX2015","A","2010",106.058018398652,
"HUN","HOUSECOST","REAL","IDX2015","A","2011",99.0906416190875,
"HUN","HOUSECOST","REAL","IDX2015","A","2012",90.2904459108021,
"HUN","HOUSECOST","REAL","IDX2015","A","2013",86.4601255701785,
"HUN","HOUSECOST","REAL","IDX2015","A","2014",88.9031198253514,
"HUN","HOUSECOST","REAL","IDX2015","A","2015",100,
"HUN","HOUSECOST","REAL","IDX2015","A","2016",112.261754886965,
"HUN","HOUSECOST","REAL","IDX2015","A","2017",121.938765588612,
"HUN","HOUSECOST","REAL","IDX2015","A","2018",134.924420210326,
"HUN","HOUSECOST","REAL","IDX2015","A","2019",150.944877407122,
"HUN","HOUSECOST","REAL","IDX2015","A","2020",153.762561945951,
"IRL","HOUSECOST","REAL","IDX2015","A","2000",94.3570279138922,
"IRL","HOUSECOST","REAL","IDX2015","A","2001",102.270458330973,
"IRL","HOUSECOST","REAL","IDX2015","A","2002",104.544948741292,
"IRL","HOUSECOST","REAL","IDX2015","A","2003",115.601618962641,
"IRL","HOUSECOST","REAL","IDX2015","A","2004",126.583065584658,
"IRL","HOUSECOST","REAL","IDX2015","A","2005",135.294176729731,
"IRL","HOUSECOST","REAL","IDX2015","A","2006",151.246869036867,
"IRL","HOUSECOST","REAL","IDX2015","A","2007",157.59542911749,
"IRL","HOUSECOST","REAL","IDX2015","A","2008",145.333160016886,
"IRL","HOUSECOST","REAL","IDX2015","A","2009",126.625579279991,
"IRL","HOUSECOST","REAL","IDX2015","A","2010",111.23044279358,
"IRL","HOUSECOST","REAL","IDX2015","A","2011",91.2744623860396,
"IRL","HOUSECOST","REAL","IDX2015","A","2012",78.1864219292183,
"IRL","HOUSECOST","REAL","IDX2015","A","2013",78.4186553111048,
"IRL","HOUSECOST","REAL","IDX2015","A","2014",90.6721170411616,
"IRL","HOUSECOST","REAL","IDX2015","A","2015",100,
"IRL","HOUSECOST","REAL","IDX2015","A","2016",107.01161482026,
"IRL","HOUSECOST","REAL","IDX2015","A","2017",117.38582584031,
"IRL","HOUSECOST","REAL","IDX2015","A","2018",126.910001003728,
"IRL","HOUSECOST","REAL","IDX2015","A","2019",127.335063292813,
"IRL","HOUSECOST","REAL","IDX2015","A","2020",127.246177920114,
"ITA","HOUSECOST","REAL","IDX2015","A","2000",93.3846865609238,
"ITA","HOUSECOST","REAL","IDX2015","A","2001",98.5225965582994,
"ITA","HOUSECOST","REAL","IDX2015","A","2002",104.877264552362,
"ITA","HOUSECOST","REAL","IDX2015","A","2003",112.228197159517,
"ITA","HOUSECOST","REAL","IDX2015","A","2004",120.446040171399,
"ITA","HOUSECOST","REAL","IDX2015","A","2005",126.998563300869,
"ITA","HOUSECOST","REAL","IDX2015","A","2006",131.633807329615,
"ITA","HOUSECOST","REAL","IDX2015","A","2007",135.388954126213,
"ITA","HOUSECOST","REAL","IDX2015","A","2008",133.409943979764,
"ITA","HOUSECOST","REAL","IDX2015","A","2009",129.239800462032,
"ITA","HOUSECOST","REAL","IDX2015","A","2010",126.632173437833,
"ITA","HOUSECOST","REAL","IDX2015","A","2011",124.705734837608,
"ITA","HOUSECOST","REAL","IDX2015","A","2012",118.426415496857,
"ITA","HOUSECOST","REAL","IDX2015","A","2013",109.536728906529,
"ITA","HOUSECOST","REAL","IDX2015","A","2014",104.109518412768,
"ITA","HOUSECOST","REAL","IDX2015","A","2015",100,
"ITA","HOUSECOST","REAL","IDX2015","A","2016",100.141981566692,
"ITA","HOUSECOST","REAL","IDX2015","A","2017",98.0190390679048,
"ITA","HOUSECOST","REAL","IDX2015","A","2018",96.5574081858017,
"ITA","HOUSECOST","REAL","IDX2015","A","2019",95.8945954456005,
"ITA","HOUSECOST","REAL","IDX2015","A","2020",98.011046076697,
"LUX","HOUSECOST","REAL","IDX2015","A","2007",84.0350450637805,
"LUX","HOUSECOST","REAL","IDX2015","A","2008",84.2103561275985,
"LUX","HOUSECOST","REAL","IDX2015","A","2009",84.1454845931296,
"LUX","HOUSECOST","REAL","IDX2015","A","2010",86.9748670313018,
"LUX","HOUSECOST","REAL","IDX2015","A","2011",87.5913705697026,
"LUX","HOUSECOST","REAL","IDX2015","A","2012",89.3350906508744,
"LUX","HOUSECOST","REAL","IDX2015","A","2013",92.3459059174095,
"LUX","HOUSECOST","REAL","IDX2015","A","2014",95.7001176180083,
"LUX","HOUSECOST","REAL","IDX2015","A","2015",100,
"LUX","HOUSECOST","REAL","IDX2015","A","2016",105.227884698293,
"LUX","HOUSECOST","REAL","IDX2015","A","2017",108.761305068387,
"LUX","HOUSECOST","REAL","IDX2015","A","2018",114.266988527152,
"LUX","HOUSECOST","REAL","IDX2015","A","2019",123.759521484589,
"LUX","HOUSECOST","REAL","IDX2015","A","2020",140.785657633086,
"NLD","HOUSECOST","REAL","IDX2015","A","2000",103.189876963539,
"NLD","HOUSECOST","REAL","IDX2015","A","2001",111.06868953062,
"NLD","HOUSECOST","REAL","IDX2015","A","2002",114.328368482791,
"NLD","HOUSECOST","REAL","IDX2015","A","2003",115.754221778519,
"NLD","HOUSECOST","REAL","IDX2015","A","2004",119.094631875268,
"NLD","HOUSECOST","REAL","IDX2015","A","2005",121.429042184469,
"NLD","HOUSECOST","REAL","IDX2015","A","2006",123.252257442108,
"NLD","HOUSECOST","REAL","IDX2015","A","2007",126.622667835154,
"NLD","HOUSECOST","REAL","IDX2015","A","2008",126.766277150162,
"NLD","HOUSECOST","REAL","IDX2015","A","2009",122.956324346049,
"NLD","HOUSECOST","REAL","IDX2015","A","2010",118.885044538084,
"NLD","HOUSECOST","REAL","IDX2015","A","2011",114.110558746251,
"NLD","HOUSECOST","REAL","IDX2015","A","2012",105.097248126114,
"NLD","HOUSECOST","REAL","IDX2015","A","2013",96.7741788702036,
"NLD","HOUSECOST","REAL","IDX2015","A","2014",96.7177173268067,
"NLD","HOUSECOST","REAL","IDX2015","A","2015",100,
"NLD","HOUSECOST","REAL","IDX2015","A","2016",104.448425103007,
"NLD","HOUSECOST","REAL","IDX2015","A","2017",110.814561235055,
"NLD","HOUSECOST","REAL","IDX2015","A","2018",118.688602358511,
"NLD","HOUSECOST","REAL","IDX2015","A","2019",124.086372077777,
"NLD","HOUSECOST","REAL","IDX2015","A","2020",131.490544913114,
"POL","HOUSECOST","REAL","IDX2015","A","2005",68.5415939448284,
"POL","HOUSECOST","REAL","IDX2015","A","2006",92.2699264319094,
"POL","HOUSECOST","REAL","IDX2015","A","2007",134.299013411325,
"POL","HOUSECOST","REAL","IDX2015","A","2008",128.048443853022,
"POL","HOUSECOST","REAL","IDX2015","A","2009",121.159562284646,
"POL","HOUSECOST","REAL","IDX2015","A","2010",113.793043892702,
"POL","HOUSECOST","REAL","IDX2015","A","2011",108.494538650255,
"POL","HOUSECOST","REAL","IDX2015","A","2012",101.256530773397,
"POL","HOUSECOST","REAL","IDX2015","A","2013",96.4040010981841,
"POL","HOUSECOST","REAL","IDX2015","A","2014",97.4799109625782,
"POL","HOUSECOST","REAL","IDX2015","A","2015",100,
"POL","HOUSECOST","REAL","IDX2015","A","2016",102.282421927008,
"POL","HOUSECOST","REAL","IDX2015","A","2017",104.126286856452,
"POL","HOUSECOST","REAL","IDX2015","A","2018",109.150133319896,
"POL","HOUSECOST","REAL","IDX2015","A","2019",115.847204451951,
"POL","HOUSECOST","REAL","IDX2015","A","2020",124.100297784095,
"PRT","HOUSECOST","REAL","IDX2015","A","2000",137.419324871439,
"PRT","HOUSECOST","REAL","IDX2015","A","2001",139.552993798638,
"PRT","HOUSECOST","REAL","IDX2015","A","2002",135.699406286352,
"PRT","HOUSECOST","REAL","IDX2015","A","2003",132.42121039672,
"PRT","HOUSECOST","REAL","IDX2015","A","2004",130.225178287657,
"PRT","HOUSECOST","REAL","IDX2015","A","2005",128.254093696099,
"PRT","HOUSECOST","REAL","IDX2015","A","2006",126.492103455181,
"PRT","HOUSECOST","REAL","IDX2015","A","2007",122.927288830406,
"PRT","HOUSECOST","REAL","IDX2015","A","2008",112.032555868379,
"PRT","HOUSECOST","REAL","IDX2015","A","2009",114.481527399547,
"PRT","HOUSECOST","REAL","IDX2015","A","2010",113.282902314185,
"PRT","HOUSECOST","REAL","IDX2015","A","2011",105.915559359736,
"PRT","HOUSECOST","REAL","IDX2015","A","2012",96.6691683755036,
"PRT","HOUSECOST","REAL","IDX2015","A","2013",94.1181921758642,
"PRT","HOUSECOST","REAL","IDX2015","A","2014",97.8953123198039,
"PRT","HOUSECOST","REAL","IDX2015","A","2015",100,
"PRT","HOUSECOST","REAL","IDX2015","A","2016",106.061344582522,
"PRT","HOUSECOST","REAL","IDX2015","A","2017",114.071297243196,
"PRT","HOUSECOST","REAL","IDX2015","A","2018",123.862703273373,
"PRT","HOUSECOST","REAL","IDX2015","A","2019",134.661532224077,
"PRT","HOUSECOST","REAL","IDX2015","A","2020",145.008675146285,
"SVK","HOUSECOST","REAL","IDX2015","A","2005",80.3437269047668,
"SVK","HOUSECOST","REAL","IDX2015","A","2006",89.4573058438991,
"SVK","HOUSECOST","REAL","IDX2015","A","2007",112.36948062135,
"SVK","HOUSECOST","REAL","IDX2015","A","2008",126.86023784151,
"SVK","HOUSECOST","REAL","IDX2015","A","2009",110.62822387441,
"SVK","HOUSECOST","REAL","IDX2015","A","2010",105.145377891394,
"SVK","HOUSECOST","REAL","IDX2015","A","2011",99.7300288710937,
"SVK","HOUSECOST","REAL","IDX2015","A","2012",93.7557573932493,
"SVK","HOUSECOST","REAL","IDX2015","A","2013",93.3939867256762,
"SVK","HOUSECOST","REAL","IDX2015","A","2014",94.8273705092557,
"SVK","HOUSECOST","REAL","IDX2015","A","2015",100,
"SVK","HOUSECOST","REAL","IDX2015","A","2016",106.987136502528,
"SVK","HOUSECOST","REAL","IDX2015","A","2017",111.828286736574,
"SVK","HOUSECOST","REAL","IDX2015","A","2018",117.313436409797,
"SVK","HOUSECOST","REAL","IDX2015","A","2019",124.5984085629,
"SVK","HOUSECOST","REAL","IDX2015","A","2020",133.548610598522,
"ESP","HOUSECOST","REAL","IDX2015","A","2000",79.4047198817189,
"ESP","HOUSECOST","REAL","IDX2015","A","2001",83.9527122436068,
"ESP","HOUSECOST","REAL","IDX2015","A","2002",95.5899405105071,
"ESP","HOUSECOST","REAL","IDX2015","A","2003",111.112610484226,
"ESP","HOUSECOST","REAL","IDX2015","A","2004",127.022855368819,
"ESP","HOUSECOST","REAL","IDX2015","A","2005",140.884048883541,
"ESP","HOUSECOST","REAL","IDX2015","A","2006",154.591494890301,
"ESP","HOUSECOST","REAL","IDX2015","A","2007",164.245951371466,
"ESP","HOUSECOST","REAL","IDX2015","A","2008",156.297609240696,
"ESP","HOUSECOST","REAL","IDX2015","A","2009",147.370343952121,
"ESP","HOUSECOST","REAL","IDX2015","A","2010",141.963979569602,
"ESP","HOUSECOST","REAL","IDX2015","A","2011",128.101540339642,
"ESP","HOUSECOST","REAL","IDX2015","A","2012",106.994370387168,
"ESP","HOUSECOST","REAL","IDX2015","A","2013",96.2792034199851,
"ESP","HOUSECOST","REAL","IDX2015","A","2014",96.4547825971039,
"ESP","HOUSECOST","REAL","IDX2015","A","2015",100,
"ESP","HOUSECOST","REAL","IDX2015","A","2016",104.450180062514,
"ESP","HOUSECOST","REAL","IDX2015","A","2017",109.24624605356,
"ESP","HOUSECOST","REAL","IDX2015","A","2018",114.944144169912,
"ESP","HOUSECOST","REAL","IDX2015","A","2019",119.665685819382,
"ESP","HOUSECOST","REAL","IDX2015","A","2020",122.38650017231,
"SWE","HOUSECOST","REAL","IDX2015","A","2000",48.9149653722464,
"SWE","HOUSECOST","REAL","IDX2015","A","2001",51.7221144623815,
"SWE","HOUSECOST","REAL","IDX2015","A","2002",54.0962525820097,
"SWE","HOUSECOST","REAL","IDX2015","A","2003",56.5797757219191,
"SWE","HOUSECOST","REAL","IDX2015","A","2004",61.5638067981581,
"SWE","HOUSECOST","REAL","IDX2015","A","2005",66.5753834104764,
"SWE","HOUSECOST","REAL","IDX2015","A","2006",74.1694646611828,
"SWE","HOUSECOST","REAL","IDX2015","A","2007",80.807418781284,
"SWE","HOUSECOST","REAL","IDX2015","A","2008",81.1178790156331,
"SWE","HOUSECOST","REAL","IDX2015","A","2009",80.7158305527475,
"SWE","HOUSECOST","REAL","IDX2015","A","2010",85.9804193215907,
"SWE","HOUSECOST","REAL","IDX2015","A","2011",85.4465997798229,
"SWE","HOUSECOST","REAL","IDX2015","A","2012",83.8025137084626,
"SWE","HOUSECOST","REAL","IDX2015","A","2013",85.8531422340437,
"SWE","HOUSECOST","REAL","IDX2015","A","2014",91.1477529797841,
"SWE","HOUSECOST","REAL","IDX2015","A","2015",100,
"SWE","HOUSECOST","REAL","IDX2015","A","2016",107.548446566102,
"SWE","HOUSECOST","REAL","IDX2015","A","2017",114.35558935568,
"SWE","HOUSECOST","REAL","IDX2015","A","2018",111.931090789244,
"SWE","HOUSECOST","REAL","IDX2015","A","2019",112.033367547905,
"SWE","HOUSECOST","REAL","IDX2015","A","2020",118.259516378058,
"EST","HOUSECOST","REAL","IDX2015","A","2005",84.1509786061601,
"EST","HOUSECOST","REAL","IDX2015","A","2006",119.288710716894,
"EST","HOUSECOST","REAL","IDX2015","A","2007",133.716861661519,
"EST","HOUSECOST","REAL","IDX2015","A","2008",112.082305919797,
"EST","HOUSECOST","REAL","IDX2015","A","2009",71.0580303638725,
"EST","HOUSECOST","REAL","IDX2015","A","2010",72.0271536370893,
"EST","HOUSECOST","REAL","IDX2015","A","2011",74.433491081887,
"EST","HOUSECOST","REAL","IDX2015","A","2012",76.8320711079787,
"EST","HOUSECOST","REAL","IDX2015","A","2013",82.4787560517136,
"EST","HOUSECOST","REAL","IDX2015","A","2014",93.207189053241,
"EST","HOUSECOST","REAL","IDX2015","A","2015",100,
"EST","HOUSECOST","REAL","IDX2015","A","2016",103.395775124283,
"EST","HOUSECOST","REAL","IDX2015","A","2017",104.646511795297,
"EST","HOUSECOST","REAL","IDX2015","A","2018",107.047485433147,
"EST","HOUSECOST","REAL","IDX2015","A","2019",111.601777057953,
"EST","HOUSECOST","REAL","IDX2015","A","2020",119.121440331664,
"LVA","HOUSECOST","REAL","IDX2015","A","2006",138.113132917944,
"LVA","HOUSECOST","REAL","IDX2015","A","2007",168.494962945696,
"LVA","HOUSECOST","REAL","IDX2015","A","2008",150.456376973442,
"LVA","HOUSECOST","REAL","IDX2015","A","2009",97.6814569050273,
"LVA","HOUSECOST","REAL","IDX2015","A","2010",89.1635979089218,
"LVA","HOUSECOST","REAL","IDX2015","A","2011",92.700080927359,
"LVA","HOUSECOST","REAL","IDX2015","A","2012",92.4517709506844,
"LVA","HOUSECOST","REAL","IDX2015","A","2013",98.3361724995054,
"LVA","HOUSECOST","REAL","IDX2015","A","2014",102.910162091162,
"LVA","HOUSECOST","REAL","IDX2015","A","2015",100,
"LVA","HOUSECOST","REAL","IDX2015","A","2016",107.212017040178,
"LVA","HOUSECOST","REAL","IDX2015","A","2017",112.955985671501,
"LVA","HOUSECOST","REAL","IDX2015","A","2018",120.12775664743,
"LVA","HOUSECOST","REAL","IDX2015","A","2019",127.034644862288,
"LVA","HOUSECOST","REAL","IDX2015","A","2020",130.553230563879,
"LTU","HOUSECOST","REAL","IDX2015","A","2006",125.889904465985,
"LTU","HOUSECOST","REAL","IDX2015","A","2007",150.368465099752,
"LTU","HOUSECOST","REAL","IDX2015","A","2008",147.801147669584,
"LTU","HOUSECOST","REAL","IDX2015","A","2009",99.165048379154,
"LTU","HOUSECOST","REAL","IDX2015","A","2010",90.4903842767107,
"LTU","HOUSECOST","REAL","IDX2015","A","2011",92.45193395136,
"LTU","HOUSECOST","REAL","IDX2015","A","2012",89.4405988417315,
"LTU","HOUSECOST","REAL","IDX2015","A","2013",89.7493201677183,
"LTU","HOUSECOST","REAL","IDX2015","A","2014",95.519684030126,
